index,trial,block,image_left,image_right,old_image,new_image,button,subject_index,valid,idx_trial_subj,left_is_new,right_is_new,old_new_comb,category_left,category_right,time_left,time_right,longer_left,longer_right,avg_dur_left,avg_dur_right,longer_avg_dur_left,longer_avg_dur_right
2038,39,2,119,43,2,1,1,11,True,1872,True,False,1,humans,urban,0.5423728813559322,0.4576271186440678,True,False,243.2,342.0,False,True
2039,40,2,102,145,1,2,2,11,False,1921,False,True,3,humans,natural,0.3932898415657036,0.6067101584342963,False,True,211.0,217.0,False,True
2040,41,2,87,67,2,1,1,11,True,1970,True,False,1,urban,faces,0.3306379155435759,0.6693620844564241,False,True,368.0,248.33333333333334,True,False
2041,42,2,113,151,1,2,2,11,True,2019,False,True,3,humans,indoor,0.6332429990966576,0.36675700090334235,True,False,280.4,270.6666666666667,True,False
2042,43,2,16,144,1,2,1,11,True,2068,False,True,3,noise,natural,0.13790035587188612,0.8620996441281139,False,True,310.0,323.0,False,True
2043,44,2,8,132,1,2,1,11,False,2117,False,True,3,indoor,urban,0.47504621072088726,0.5249537892791127,False,True,257.0,378.6666666666667,False,True
2044,45,2,9,56,2,1,1,11,True,2166,True,False,1,humans,natural,0.5289608177172062,0.47103918228279384,True,False,248.4,276.5,False,True
2045,46,2,51,55,1,2,2,11,True,2215,False,True,3,urban,urban,0.41030534351145037,0.5896946564885496,False,True,286.6666666666667,206.0,True,False
2046,47,2,143,41,2,1,1,11,True,2264,True,False,1,urban,indoor,0.5023430178069354,0.49765698219306465,True,False,357.3333333333333,212.4,True,False
2047,48,2,151,25,1,2,1,11,True,2313,False,True,3,indoor,urban,0.41500904159132007,0.5849909584086799,False,True,229.5,323.5,False,True
2048,49,2,81,195,2,1,1,11,True,2362,True,False,1,urban,natural,0.7587719298245614,0.2412280701754386,True,False,288.3333333333333,275.0,True,False
2049,50,2,2,142,2,1,1,11,True,2411,True,False,1,urban,humans,0.6017241379310345,0.39827586206896554,True,False,279.2,231.0,True,False
2050,51,2,83,40,1,2,1,11,True,2460,False,True,3,humans,urban,0.651060070671378,0.3489399293286219,True,False,368.5,197.5,True,False
2051,52,2,146,29,1,2,1,11,True,2509,False,True,3,indoor,urban,0.5489642184557438,0.4510357815442561,True,False,233.2,239.5,False,True
2052,53,2,143,149,1,2,2,11,True,2558,False,True,3,urban,natural,0.6149122807017544,0.3850877192982456,True,False,280.4,292.6666666666667,False,True
2053,54,2,101,162,1,2,2,11,True,2607,False,True,3,indoor,urban,0.22556390977443608,0.7744360902255639,False,True,270.0,264.85714285714283,True,False
2054,55,2,125,53,2,1,2,11,True,2656,True,False,1,humans,humans,0.496415770609319,0.503584229390681,False,True,221.6,374.6666666666667,False,True
2055,56,2,64,176,2,1,1,11,True,2705,True,False,1,urban,faces,0.4757929883138564,0.5242070116861436,False,True,285.0,251.2,True,False
2056,57,2,140,7,2,1,1,11,True,2754,True,False,1,indoor,humans,0.4208984375,0.5791015625,False,True,215.5,296.5,False,True
2057,58,2,121,106,2,1,1,11,True,2803,True,False,1,urban,natural,0.3925399644760213,0.6074600355239786,False,True,221.0,273.6,False,True
2058,59,2,149,123,1,2,2,11,True,2852,False,True,3,natural,humans,0.24295774647887325,0.7570422535211268,False,True,276.0,344.0,False,True
2059,60,2,69,35,1,2,2,11,True,2901,False,True,3,urban,humans,0.5359019264448336,0.46409807355516636,True,False,306.0,265.0,True,False
2060,61,2,186,74,2,1,1,11,True,2950,True,False,1,urban,urban,0.4194139194139194,0.5805860805860806,False,True,305.3333333333333,422.6666666666667,False,True
2061,62,2,161,108,1,2,2,11,False,2999,False,True,3,urban,urban,0.39658119658119656,0.6034188034188034,False,True,309.3333333333333,201.71428571428572,True,False
